Metric,Estimate,95% CI / SE,Sample / Notes
Gini Coefficient (B_meas),0.9976,"[0.9952, 0.9982]","N = 9,632 bots (non-missing volume)"
CR1 (Top 1 Bot Share),25.09%,---,Largest bot: 0x1f2f10d1...
CR4 (Top 4 Bots Share),65.70%,---,Top 4 bot addresses
CR10 (Top 10 Bots Share),76.81%,---,Top 10 bot addresses
CR20 (Top 20 Bots Share),84.59%,---,Top 20 bot addresses
Top 0.1% Share,76.81%,---,k = 10 bots
Top 1% Share,98.51%,---,k = 97 bots
Top 5% Share,99.93%,---,k = 482 bots
Top 10% Share,99.97%,---,k = 964 bots
Herfindahl-Hirschman Index (HHI),"1,236.5",---,"Scale 0 to 10,000"
Robustness: Gini on B_pos,0.9976,---,"N = 9,630 (strictly positive volume)"
Robustness: Gini Excl. Largest Bot,0.9970,---,"N = 9,631 (excludes 0x1f2f10d1...)"
Robustness: Top 1% Share on B_pos,98.51%,---,"N = 9,630"
